
2025/04/12 (07:25:42) | ===> btop++ v.1.4.0
2025/04/12 (07:25:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (12:52:46) | ===> btop++ v.1.4.0
2025/04/12 (12:52:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (18:43:40) | ===> btop++ v.1.4.0
2025/04/12 (18:43:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (07:33:52) | ===> btop++ v.1.4.0
2025/04/13 (07:33:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (13:58:42) | ===> btop++ v.1.4.0
2025/04/20 (13:58:42) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/20 (13:59:12) | WARNING: Failed to join _runner thread on exit!

2025/04/30 (21:35:48) | ===> btop++ v.1.4.0
2025/04/30 (21:35:48) | WARNING: Intel GPU: Failed to initialize PMU
